,Match_Id,cum_run_conceded,cum_ball_thrown,cum_wicket,Player_Id
3471,548353,873,775,17.0,83
3508,548356,889,787,17.0,83
3534,548358,911,806,17.0,83
3594,548363,931,832,17.0,83
3675,548370,963,850,17.0,83
3885,598004,999,876,17.0,83
3939,598009,1021,901,17.0,83
4035,598017,1045,927,17.0,83
4161,598028,1074,945,17.0,83
4205,598032,1109,969,17.0,83
4312,598041,1134,987,18.0,83
4381,598047,1166,1005,18.0,83
4451,598053,1195,1029,20.0,83
4523,598059,1216,1047,21.0,83
4560,598062,1237,1071,21.0,83
4645,598069,1254,1095,22.0,83
4832,729296,1278,1113,24.0,83
5088,733992,1329,1137,25.0,83
9,335987,0,0,0.0,84
55,335991,7,18,1.0,84
137,335998,16,36,2.0,84
188,336002,42,54,2.0,84
224,336005,75,76,3.0,84
262,336008,101,100,4.0,84
343,336015,142,124,4.0,84
391,336019,167,148,5.0,84
422,336022,194,166,5.0,84
473,336026,212,184,5.0,84
515,336030,241,199,6.0,84
542,336032,257,211,6.0,84
623,336040,280,229,7.0,84
722,392189,329,253,7.0,84
748,392191,342,271,7.0,84
783,392195,366,295,8.0,84
859,392202,402,319,10.0,84
883,392204,431,343,11.0,84
936,392208,446,367,13.0,84
988,392212,470,391,14.0,84
1037,392216,497,415,16.0,84
1137,392224,540,439,16.0,84
1165,392226,563,463,18.0,84
1253,392233,603,487,18.0,84
1400,419111,626,511,18.0,84
1437,419114,657,535,19.0,84
1485,419118,684,559,19.0,84
1544,419123,722,583,20.0,84
1592,419127,755,607,22.0,84
1694,419136,799,631,24.0,84
1909,419153,816,637,25.0,84
2136,501204,862,661,25.0,84
2183,501208,886,685,25.0,84
2245,501213,913,703,25.0,84
2296,501217,934,727,26.0,84
2431,501229,957,751,26.0,84
2493,501234,996,775,27.0,84
2572,501241,1008,793,32.0,84
2612,501244,1049,817,32.0,84
2661,501248,1086,841,32.0,84
2742,501255,1102,865,34.0,84
2815,501261,1127,883,34.0,84
2848,501264,1157,907,36.0,84
3895,598005,1176,925,36.0,84
3940,598009,1197,950,36.0,84
4008,598015,1224,974,36.0,84
4044,598018,1256,1001,36.0,84
4099,598023,1288,1026,36.0,84
4135,598026,1310,1050,36.0,84
4239,598035,1337,1076,36.0,84
4262,598037,1371,1100,37.0,84
4346,598044,1406,1118,37.0,84
4405,598049,1421,1142,39.0,84
4452,598053,1432,1160,40.0,84
4487,598056,1462,1182,41.0,84
4547,598061,1528,1206,41.0,84
4595,598065,1550,1224,41.0,84
4654,598070,1582,1248,42.0,84
4726,598076,1604,1272,42.0,84
4797,729290,1635,1290,43.0,84
4947,729316,1664,1314,44.0,84
5030,733982,1701,1338,46.0,84
5489,829716,1736,1356,46.0,84
5924,829792,1782,1374,46.0,84
5959,829798,1807,1392,47.0,84
5992,829804,1846,1416,47.0,84
6145,980906,1895,1440,47.0,84
6203,980916,1931,1464,49.0,84
6248,980924,1970,1488,50.0,84
6320,980936,1996,1506,50.0,84
1181,392227,0,0,0.0,85
162,336000,0,0,0.0,86
198,336003,32,21,1.0,86
230,336006,40,27,1.0,86
273,336009,51,33,1.0,86
326,336014,57,39,2.0,86
767,392194,0,0,0.0,87
2065,419166,11,6,0.0,87
2406,501227,22,12,1.0,87
2552,501239,36,18,1.0,87
5226,734016,45,24,1.0,87
28,335989,0,0,0.0,89
76,335993,17,24,2.0,89
163,336000,44,48,4.0,89
199,336003,49,54,4.0,89
231,336006,63,60,4.0,89
274,336009,74,66,5.0,89
460,336025,96,78,6.0,89
482,336027,128,102,6.0,89
527,336031,136,108,6.0,89
971,392211,183,132,6.0,89
1038,392216,200,150,8.0,89
1088,392220,235,174,8.0,89
1138,392224,250,198,11.0,89
1189,392228,263,204,11.0,89
1229,392231,278,220,15.0,89
1340,392240,300,238,15.0,89
1516,419121,329,262,16.0,89
1695,419136,360,274,16.0,89
1809,419145,388,298,17.0,89
1858,419149,412,322,18.0,89
1921,419154,442,346,19.0,89
2124,501203,461,358,19.0,89
2184,501208,480,376,19.0,89
2261,501214,509,400,21.0,89
2324,501219,521,406,21.0,89
2407,501227,525,412,21.0,89
2553,501239,553,430,21.0,89
2613,501244,571,454,21.0,89
2651,501247,597,478,23.0,89
2686,501250,619,496,24.0,89
2885,501267,629,508,24.0,89
2939,501272,640,520,24.0,89
2965,501274,662,544,27.0,89
3013,548312,671,550,27.0,89
3075,548317,678,557,28.0,89
3110,548320,705,581,28.0,89
3168,548325,735,605,28.0,89
3205,548328,753,618,28.0,89
3261,548333,767,642,28.0,89
3342,548340,789,667,28.0,89
3426,548349,814,692,28.0,89
3461,548352,855,710,28.0,89
3535,548358,876,729,28.0,89
3584,548362,903,753,28.0,89
3653,548368,929,777,28.0,89
3713,548373,970,801,28.0,89
3790,548380,1003,825,28.0,89
3825,548383,1017,843,28.0,89
3862,548386,1033,855,28.0,89
3875,598003,1056,873,28.0,89
3956,598010,1078,898,28.0,89
3988,598013,1099,916,28.0,89
4045,598018,1108,923,28.0,89
4081,598021,1138,948,28.0,89
4148,598027,1168,972,28.0,89
